web-scraper-order,web-scraper-start-url,product_name,product_price,product_rating,product_sales
"1752406297-1","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Fuzz Lite Sepatu Lari - Putih/Hijau/Biru","645.905","4.9","343 terjual"
"1752406297-2","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Fuzz Lite Sepatu Lari - Hitam/Ungu/Biru","645.905","4.9","386 terjual"
"1752406297-3","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Kishi Run Flow Sepatu Lari - Putih/Biru/Merah-muda","749.900","4.9","353 terjual"
"1752406297-4","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Fuzz Lite Sepatu Lari - Hijau/Orange/Kuning","645.905","4.9","324 terjual"
"1752406297-5","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten TAKASHI RUN ELITE sepatu lari - HITAM/HIJAU-NEON","645.905","4.8","137 terjual"
"1752406297-6","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten TAKASHI RUN ELITE sepatu lari - Hijau Turqoise/Navy/Lime","645.905","4.8","231 terjual"
"1752406297-7","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten HAZE FLOW sepatu lari - ungu/biru/hitam","999.900","4.8","164 terjual"
"1752406297-8","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten HAZE FLOW sepatu lari - HITAM/HIJAU/BIRU","999.900","4.9","58 terjual"
"1752406297-9","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Kishi Run Flow Sepatu Lari - Ungu/Merah/kuning","749.900","4.9","194 terjual"
"1752406297-10","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910nineten HAZE METAMOZAIC sepatu lari - Biru Muda/Abu-Abu/Merah","699.900","4.9","244 terjual"
"1752406297-11","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten TAKASHI RUN ELITE sepatu lari - PUTIH/BIRU-NV/MERAH","679.900","4.8","623 terjual"
"1752406297-12","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Tempo Sepatu Lari - Biru/Merah/Kuning","664.905","4.8","367 terjual"
"1752406297-13","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Geist Ekiden Pro Sepatu Lari - Putih/Biru/HIjau-Neon","1.499.900","4.8","70 terjual"
"1752406297-14","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Infinity Sprint Sepatu Lari - Putih/Biru/Pink","529.900","4.6","65 terjual"
"1752406297-15","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Geist Ekiden Pro Sepatu Lari - Orange/Hijau-Mint/Hijau-Neon","1.499.900","4.8","124 terjual"
"1752406297-16","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten HAZE STRIKE-X Sepatu Lari - DARK-NAVY/JINGGA/PUTIH-GADING","999.900","4.0","37 terjual"
"1752406297-17","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Tempo Sepatu Lari - Olive/Kuning/Tembaga","699.900","4.8","445 terjual"
"1752406297-18","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Infinity Sprint Sepatu Lari - Magenta/Ungu/Lime","529.900","5.0","94 terjual"
"1752406297-19","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten HAZE FLOW sepatu lari - HITAM/TEAL/KUNING","999.900","4.8","177 terjual"
"1752406297-20","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Tempo Sepatu Lari - Putih-biru/Merah/Lime","699.900","4.8","714 terjual"
"1752406297-21","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Pro Sepatu Lari - Hitam/Abu-abu","1.499.999","4.8","77 terjual"
"1752406297-22","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Haze Infinity Sprint Sepatu Lari - Hijau-Lime/Hitam/Merah","529.900","4.7","52 terjual"
"1752406297-23","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910 Nineten Kishi Run FLow Sepatu Lari - Hitam/Jingga/Merah","749.900","4.8","239 terjual"
"1752406297-24","https://shopee.co.id/910sportswear?page=0&shopCollection=248630434","910Nineten HAZE STRIKE-X Sepatu Lari -DARK GREY/HIJAU/PUTIH GADING","999.900","4.9","16 terjual"
"1752406480-25","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Geist Ekiden Sepatu Running - Hitam/Hitam","479.900","4.8","1,1RB terjual"
"1752406480-26","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Geist Ekiden Sepatu Lari - Hitam/Putih","479.900","4.8","338 terjual"
"1752406480-27","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Ultra Ekiden 1.0 Sepatu Lari - Hitam/Abu-Abu","579.900","4.8","169 terjual"
"1752406480-28","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten AURORUN Sepatu Lari - HITAM/BIRU/UNGU","599.900","4.8","626 terjual"
"1752406480-29","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Fuuto Revenge  Sepatu Lari - Triple Black","522.405","4.8","949 terjual"
"1752406480-30","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Aurorun Stride Sepatu Lari - Hitam/Biru/Navy","729.900","4.8","48 terjual"
"1752406480-31","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Aurorun Stride Sepatu Lari - Hitam/Abu Tua","729.900","4.7","24 terjual"
"1752406480-32","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Fuuto Revenge  Sepatu Lari - Putih/Abu-Muda/Turquoise","522.405","4.9","686 terjual"
"1752406480-33","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Haze Infiknit 1.0 Sepatu Lari - Hitam/Abu","479.900","4.9","853 terjual"
"1752406480-34","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten EKIDEN HYPERPULSE sepatu lari - Putih/Biry/Hijau Neon","679.900","4.8","579 terjual"
"1752406480-35","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Kanzaki 1.0 Sepatu Lari - Putih/Biru/Hijau-Lime","559.900","4.8","1,3RB terjual"
"1752406480-36","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Kanzaki 2.0 Sepatu Lari - Ungu/Navy/Neon","579.900","4.9","64 terjual"
"1752406480-37","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Ultra Ekiden 1.0 Sepatu Lari - Hitam-irish/Hijau-neon/Biru-muda","549.900","4.8","1,5RB terjual"
"1752406480-38","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Fuuto Revenge Womens Sepatu Lari - Biru/Turquoise","522.405","4.9","188 terjual"
"1752406480-39","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Kanzaki 2.0 Sepatu Lari - Hitam/Ungu/Magenta","579.900","4.9","536 terjual"
"1752406480-40","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Kanzaki 2.0 Sepatu Lari - Merah Coral/Kuning/Off white","579.900","4.9","79 terjual"
"1752406480-41","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Aurorun Sepatu Lari - Navy/Ungu/Biru","599.900","4.8","1,7RB terjual"
"1752406480-42","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Kenzo Run Sepatu Lari - Biru/Merah/Putih","529.900","4.8","1,4RB terjual"
"1752406480-43","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Ultra Ekiden 1.0 Sepatu Lari - Putih/Biru-muda","579.900","4.9","70 terjual"
"1752406480-44","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Hanna 2.0 Sepatu Lari - Biru/Hijau-Neon","579.900","4.8","119 terjual"
"1752406480-45","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Hanna 2.0 Sepatu Lari - Merah/Biru-Navy/Soft-pink","579.900","4.9","171 terjual"
"1752406480-46","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten HANNA 1.0 Sepatu Lari - Merah Muda/Biru-Navy/Putih","549.000","4.9","241 terjual"
"1752406480-47","https://shopee.co.id/910sportswear?page=0&shopCollection=248630484","910 Nineten Hanna 2.0 Sepatu Lari - Merah/Burgundy/Coklat","550.905","4.9","143 terjual"
