web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752422179-1","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: lucuKualitas: baguuusKegunaan: daily run","akhirnya sampai bisa lanjut lari/jalan. aku sebelumnya pakai 39 ngepas pakai 40 kegedean, ada 39.5 ga nineten:"" tapi gapapa tinggal pakai kaoskaki yg agak tebal mungkin ya, still love it♡ semoga kdepannya makin banyak design lucu gemas dan ada ukuran aku. oiya sellernya paham tentang produk jadi bisa nyocokin dgn kebutuhan kita, keren","2","2025-02-01 11:02 | Variasi: 40"
"1752422179-2","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/227174004","alno21","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: bagusKegunaan: lariBerat: ringan","Intinya anak perempuan pingin kurus tapi tidak konsisten, jadi aku ngebeliin my girl kaos kaki dan sepatu","16","2024-08-05 20:01 | Variasi: 42"
"1752422179-3","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/168705704","ziporamusidy80","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","4","2024-07-25 15:09 | Variasi: 41"
"1752422179-4","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/270972543","rinnie_aning","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Mantap....","Membantu?","2024-07-27 06:27 | Variasi: 40"
"1752422179-5","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/362783875","rahman_arif2812","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-07-31 11:05 | Variasi: 43"
"1752422179-6","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/728242817","jecauisgian","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-06-07 17:52 | Variasi: 45"
"1752422179-7","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-05-08 16:21 | Variasi: 45"
"1752422179-8","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: Saran aja buat temen2 yg niat beli buat lari. Walau pun bentuknya keren bisa di buat pake harian atau pun buat jalan2. Lebih baik teman2 menggunakanya hanya untuk lari saja karna semakin sering anda pake jalan efek bouncing bakal lebih cepat berkurang.","Baru sampai jam 2 siang jam 4 sore langsung di coba buat 10km masih nyaman dipake. recommend buat yg baru nyoba lari atau pun yg udah biasa, di harga segini sangat2 worth it.","7","2024-08-09 22:36 | Variasi: 44"
"1752422179-9","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/141498191","rinitrihastuti1108","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: best untuk lari","","Membantu?","2024-09-01 05:48 | Variasi: 43"
"1752422179-10","https://shopee.co.id/910-Nineten-Ekiden-Hyperion-Sepatu-Lari-Magenta-Orange-i.86817902.26505545956","/shop/74362566","maystikaaditya","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Bagoooss bett","Membantu?","2025-03-22 09:05 | Variasi: 41"
