web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752407960-1","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/939334954","6jkra3f845","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: bagusCocok Untuk: lariPerforma: blm di coba","","12","2023-09-02 18:15 | Variasi: 41"
"1752407960-2","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: Bagus bgtCocok Untuk: long run","Mantep bgt, upper, insole nya bagus banget, ukuran 44 aja bobot masih kerasa ringan, recomend bgt pokoknya, dipake buat lari 5 - 10 KM","10","2023-08-12 19:40 | Variasi: 44"
"1752407960-3","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/52029275","will.echevalier","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: bagusKualitas: bagusPerforma: bagus","Sepatu lokal berkualitas bagus, empuk banget, mantap","17","2023-08-24 13:51 | Variasi: 41"
"1752407960-4","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagusKualitas: okeCocok Untuk: lari","Suka banget, nyaman, dapet promooo. Terimakasih 910","7","2024-02-03 21:29 | Variasi: 41"
"1752407960-5","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/719589334","arijuniardi94","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Mantap gaes 
Sesuai pesanan 
Kurirnya ramah
The best pokoknya","1","2024-02-07 21:00 | Variasi: 42"
"1752407960-6","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/543668841","tuyulg.imlact","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: Daily runPerforma: sangat baikKualitas: top di kelasnya","Nyaman betul ternyata pake sepatu yang sesuai peruntukannya","Membantu?","2024-02-03 14:34 | Variasi: 45"
"1752407960-7","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/161305072","dytha_rajut","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: bagusPerforma: bagus dan kerenCocok Untuk: olahraga outdoor, joging, lari","Alhamdulillah suami suka, cocok  Bagus baanget, desainnya keren harganya lumayan pokoknya bagus banget","5","2024-02-12 14:35 | Variasi: 45"
"1752407960-8","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: daily runKualitas: okePerforma: oke","So far nyaman dipakai buat daily run. Katanya bisa juga buat race, mungkin macam 5-10 K ya.. cocok untuk pemula yang masih berfikir keras untuk membeli sepatu lari pertama 😁","Membantu?","2024-05-01 10:36 | Variasi: 40"
"1752407960-9","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Worth it bangeeeetttt... produk lokal tp gak ecek2.. harga dan kualitas sepadan.. terima kasih seller..","Membantu?","2024-02-26 08:25 | Variasi: 40"
"1752407960-10","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/118981074","tikaawaliakamal","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: olahragaKualitas: kereen enak bangett","","Membantu?","2024-01-29 15:02 | Variasi: 40"
"1752407960-11","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/80945126","d_herwanto","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: untuk olahraga running outdoorKualitas: cukup baikPerforma: masih belum di coba","","4","2024-03-09 21:56 | Variasi: 44"
"1752407960-12","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/352279204","agusisrawan","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang sudah sampai dengan cepat dan kondisinya bagus. Terimakasih","Membantu?","2023-08-26 00:41 | Variasi: 41"
"1752407960-13","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: bagus cocok untuk berolahragaPerforma: sangat bangusKualitas: bagus","Sepatu lokal berkualitas bagus, empuk banget,
mantap enak sangat di gunakan","1","2024-02-03 13:44 | Variasi: 40"
"1752407960-14","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang diterima dg baik dan sesuai pesanan. Terimakasih pelapak.","Membantu?","2024-03-10 12:30 | Variasi: 39"
"1752407960-15","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","3","2023-08-13 16:38 | Variasi: 41"
"1752407960-16","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/359520526","surulmm","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: cocok buat lariUkuran: pas mantapDesain: jossss","","Membantu?","2024-05-23 14:31 | Variasi: 42"
"1752407960-17","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: belum dicoba..hanya saja ukuran yang kegedeaan.minta insol 28.0.dikasi 28.8..sedikit kecewaCocok Untuk: buat lariKualitas: lumayan","","9","2023-10-02 19:16 | Variasi: 44"
"1752407960-18","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/131850783","koetay","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Barang good real pick","1","2024-01-15 22:07 | Variasi: 44"
"1752407960-19","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/442970530","ahmadmaulanaalid","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: bagusCocok Untuk: berbagai jenis olahragaPerforma: sangat keren","Barang sesuai dengan pesanan tidak mengecewakan sangat senang sekali, ukuran pas dan tampilan keren","Membantu?","2024-02-24 12:07 | Variasi: 40"
"1752407960-20","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/152551792","djatnikaiskandar","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Mksh sepatu nya dah nyampai","1","2024-02-18 16:06 | Variasi: 44"
"1752407960-21","https://shopee.co.id/910-Nineten-Irezumi-Hover-Sepatu-Lari-Biru-tua-Putih-Merah-i.86817902.23774830756","/shop/1181589893","fahmiilhamiramadan","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: mantapCocok Untuk: recovery runKualitas: bagus","Jos gandos mbeledos maknyos os os","Membantu?","2024-02-25 17:21 | Variasi: 40"
