web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752460644-1","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/117992426","awantiadatara","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Ringan banget, belum d coba lari. Smoga pace lbh kenceng dan awet. Thaks","Membantu?","2025-05-08 10:24 | Variasi: 40"
"1752460644-2","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/49817927","aseftharioys","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: kerenKegunaan: goodBerat: ringan","Ukuran pas banget. Kualitas ga kalah sama produk luar, keren dah.","Membantu?","2025-04-30 18:44 | Variasi: 43"
"1752460644-3","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","5","2025-02-26 18:18 | Variasi: 40"
"1752460644-4","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/1174178767","a8il_na8ila_99","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Desain: keren dan pasKegunaan: buat running nyaman bgtBerat: ringan","","Membantu?","2025-04-03 04:10 | Variasi: 43"
"1752460644-5","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-04-25 18:01 | Variasi: 43"
"1752460644-6","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/34471061","elydamayanti28","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-02-05 16:05 | Variasi: 40"
"1752460644-7","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/8894338","wisnu_triyana","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-02-20 17:23 | Variasi: 43"
"1752460644-8","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/290295031","fruitveggie","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-02-14 22:29 | Variasi: 40"
"1752460644-9","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/63477420","denny_manitik","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-03-29 16:46 | Variasi: 42"
"1752460644-10","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/243618271","adisonaulia","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-03-03 08:36 | Variasi: 44"
"1752460644-11","https://shopee.co.id/910Nineten-HAZE-STRIKE-X-Sepatu-Lari-DARK-GREY-HIJAU-PUTIH-GADING-i.86817902.27773856182","/shop/756581351","mursalhediharahap","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2025-03-06 16:28 | Variasi: 39"
