tag,time
model_init_2024,0.0009179115295410156
model_fit_2024,9.776883125305176
recommend_user_2024_227174004,7.62939453125e-06
recommend_user_2024_168705704,6.198883056640625e-06
recommend_user_2024_270972543,6.67572021484375e-06
recommend_user_2024_362783875,7.3909759521484375e-06
recommend_user_2024_141498191,6.198883056640625e-06
recommend_user_2024_1298325047,5.4836273193359375e-06
recommend_user_2024_125766647,6.198883056640625e-06
recommend_user_2024_17686312,8.821487426757812e-06
recommend_user_2024_54335,6.4373016357421875e-06
recommend_user_2024_251610452,5.4836273193359375e-06
recommend_user_2024_137026506,5.7220458984375e-06
recommend_user_2024_52203160,5.7220458984375e-06
recommend_user_2024_18136955,5.245208740234375e-06
recommend_user_2024_93882006,5.9604644775390625e-06
recommend_user_2024_370018615,5.7220458984375e-06
recommend_user_2024_820154990,5.0067901611328125e-06
recommend_user_2024_946539204,5.4836273193359375e-06
recommend_user_2024_1003167816,5.4836273193359375e-06
recommend_user_2024_559422076,5.9604644775390625e-06
recommend_user_2024_85671312,7.152557373046875e-06
recommend_user_2024_181141939,5.0067901611328125e-06
recommend_user_2024_203479539,5.7220458984375e-06
recommend_user_2024_224435208,4.76837158203125e-06
recommend_user_2024_1025381607,5.245208740234375e-06
recommend_user_2024_776406264,6.198883056640625e-06
recommend_user_2024_157779670,1.6927719116210938e-05
recommend_user_2024_89099124,5.0067901611328125e-06
recommend_user_2024_559369638,5.7220458984375e-06
recommend_user_2024_337129046,6.67572021484375e-06
recommend_user_2024_268948377,5.4836273193359375e-06
recommend_user_2024_71127641,5.0067901611328125e-06
recommend_user_2024_193237983,5.4836273193359375e-06
recommend_user_2024_190437490,5.0067901611328125e-06
recommend_user_2024_765939409,5.4836273193359375e-06
recommend_user_2024_327463328,5.7220458984375e-06
recommend_user_2024_617553618,6.198883056640625e-06
recommend_user_2024_446918602,5.4836273193359375e-06
recommend_user_2024_57085967,5.7220458984375e-06
recommend_user_2024_16403954,5.0067901611328125e-06
recommend_user_2024_193325492,5.4836273193359375e-06
recommend_user_2024_522118957,9.059906005859375e-06
recommend_user_2024_321930618,5.4836273193359375e-06
recommend_user_2024_644787634,5.0067901611328125e-06
recommend_user_2024_155213106,5.245208740234375e-06
recommend_user_2024_866311432,4.5299530029296875e-06
recommend_user_2024_502253940,5.7220458984375e-06
recommend_user_2024_124854812,5.9604644775390625e-06
